No.,XRD(GSAS),,,,,TD(g/cm3),粉末压实（旧模具）,粉末压实-现行,粉末电阻率Ω·cm,Li%,Fe%,P%,SSA(m2/g),C%,pH,IG/ID,首充(mAh/g),首效(%),0.2C(mAh/g),1C(mAh/g),2C(mAh/g),1C平均电压(1V),-20℃低温-1.8V(1C),ICP(ppm),,,,,,,,,,,,,,,,,,,
,a(Å),b(Å),c(Å),cz(nm),V(Å3),,,,,,,,,,,,,,,,,,,K,Ca,Na,Mg,Al,Cr,Mn,Co,Ni,Cu,Zn,Ti,B,Li,Zr,Sr,Nb,S,Y,V
P700H-2-23,10.3231,6.004,4.6889,133,290.62,0.77,2.65,2.55,17.2,4.31,33.87,19.64,12.06,1.12/1.10,8.96,0.93,162.7,94.29,155.5,139.9,128.2,3.345,33.22%,50.8,161.3,150.9,65.6,27.4,98.8,95.6,2.2,66.8,0,9.8,666.8,5.2,4.31%,10.4,1,1.6,80.8,2.8,未检测
SH-10P-2-23,,,,,,0.72,2.72,2.64,2.44,4.35,33.4,19.42,12.67,1.22,9.63,0.93,160.6,95.58,155.2,139.8,128.5,3.338,24.54%,41.8,249.1,121.3,99.7,144.7,60.4,110.4,13.6,19,0,2,4547.3,7,4.35%,8.8,2.2,未检测,43,0,未检测
S27-3-24,10.32133,6.0039,4.6898,133.5,290.61,0.71,2.64,2.54,2.8,4.45,33.64,19.52,10.98,1.42,9.42,0.93,161.8,95.56,156.6,144.7,135.3,3.344,24.58%,79.2,172,235.6,110.2,53.2,7,150,6,26.4,ND,17.6,1375.6,4.8,4.45%,未检测,1.8,/,33.6,未检测,未检测
S526-1-25,10.32212,6.0041,4.6892,161.5,290.61,0.69,,2.64,5.92,4.39,34.33,19.61,11.67,1.2,9.15,0.93,162.8,95.81,157.9,145.4,135.3,3.333,24.94%,39.4,66.6,88,9.8,87,13.4,11,2.2,未检测,2.8,2.6,2700,7.6,4.39%,135,未检测,25,182.8,未检测,ND
GX100-1-24,,,,,,0.87,2.59,2.49,15.8,4.29,33.72,19.77,12.29,1.27,9.14,,161.8,93.48,153.3,137.2,124.2,3.336,24.16%,36.8,66,163.1,24.8,8.4,8.4,66,3.2,10.6,ND,7.2,2413.6,5.2,4.29%,26,1.2,0,38.4,未检测,未检测
GX100-2-24,10.32192,6.0041,4.69,128.3,290.66,0.88,2.63,2.53,20.7,4.33,33.72,19.56,11.19,1.25,9.15,,161.9,94.09,154.8,137.6,124.8,3.339,22.21%,55.8,141.9,243.8,29.4,17,7.4,72.5,5.8,21.6,ND,8.4,2404.9,4.2,4.33%,未检测,1.4,/,42.6,未检测,未检测
GX100-3-24,,,,,,0.77,2.56,2.46,19.6,4.29,33.81,19.45,13.55,1.34,9.19,,160,96.57,156.3,142.5,132.5,3.346,29.22%,33,104.2,176.9,34.8,37.6,9.2,84.6,3.6,12.8,0,10.4,1763.1,3.2,4.29%,21.8,0,0,/,未检测,未检测
GX100-4-24,,,,,,0.72,2.59,2.49,28.8,4.4,34.04,19.62,12.17,1.46,9.27,0.96,161.7,96.46,157.7,142.8,131.3,3.34,/,32,174.9,150.7,25.2,27.8,94.8,82.6,5.4,62.6,0,8,2608.4,2.4,4.4%,16.6,1,0,26.2,0,未检测
GX100-5-24,,,,,,0.76,2.58,2.48,-,4.41,34.01,19.61,13.07,1.28,9.4,,162.9,95.31,156.6,143.9,133.4,3.341,29.58%,35,184.2,160.4,37.2,107.3,3.2,68.8,3.2,27.4,ND,5.8,2237.3,2.8,4.41%,16.2,ND,ND,34,1,未检测
GX100-6-24,10.32071,6.004,4.6906,91.7,290.65,0.84,2.58,2.48,25.8,4.4,33.97,19.61,12.59,1.27,9.4,0.93,160.4,95.35,155.5,140.6,128.6,3.337,26.8%,55.2,162,383.4,33.4,22.2,3.2,62.6,2.8,2.4,0,6.8,2335.1,0,4.4%,19,0,0,40,-,未检测
GX101-1-24,,,,,,0.79,2.66,2.56,27.2,4.33,34.05,19.69,13.17,1.16,8.9,0.92,162.3,92.94,154.2,137,124.3,3.347,23.25%,16,150.7,211.9,38.4,17,4.5,90.4,5.9,5.1,0,10.8,3162.6,2.4,4.33%,16.2,0,0,49.4,0,未检测
GX101-2-24,,,,,,-,2.64,2.54,-,,,,,1.22,,-,,,/,,,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,未检测
GX101-3-24,10.32142,6.0039,4.6892,168.4,290.58,0.77,2.66,2.54,20,4.14,33.95,19.46,13.15,1.23,8.9,0.94,160.8,93.97,154.3,139.5,128.6,3.342,28.47%,30.8,137.7,233.9,27.8,5,6.2,73,6.2,0,0,6.6,2943.8,2.8,4.14%,26,0,0,33.4,未检测,未检测
GX101-4-25,10.3192,6.0029,4.6894,134.3,290.49,0.7,,2.55,22.59,4.13,33.83,19.45,12.71,1.33,9,0.95,159,95.85,154.64,141.1,129.84,3.339,27.21%,65.2,111.6,153,41,144,4.4,74.2,3.2,0,3,5.8,2750,6.4,4.13%,82,未检测,89,17.4,未检测,未检测
GX200C-1-25,10.32151,6.0041,4.6902,142.9,290.66,0.85,,2.55,7.78,4.13,33.8,19.63,12.62,1.37,9.99,0.97,162.5,96,158,145.5,135.4,3.335,28.02%,50.2,96.2,276.3,34,2,3.8,70,2.8,ND,ND,9.8,5587.8,1.6,4.13%,8,1,未检测,41.6,未检测,未检测
GX200-1-25,10.3207,6.0038,4.6898,146.5,290.59,0.94,,2.63,8.6,4.17,33.81,19.63,14.29,1.38,9.84,0.94,161.3,94.13,154.8,139.8,128.2,3.335,23.78%,63.6,86.8,255.8,33,2,4,67.6,3.4,ND,ND,9.4,6293.8,1.6,4.17%,13,ND,未检测,33.4,未检测,未检测
GX200C-2-25,10.32014,6.0035,4.6894,197.6,290.54,0.92,,2.65,31.83,4.29,33.9,19.53,11.33,1.15,9.723,1,161.8,95.12,157,143.7,133.7,3.345,30.07%,101.9,64.4,169.7,25.6,229.9,1.6,114.1,4,0,3,4.2,4467.3,0,4.29%,209.9,1,149.9,33.2,2,ND
GX200C-3-25,数据异常,,,,,0.94,,2.6,19.2,4.25,33.82,19.58,13.2,1.34,8.96,0.97,160.2,94.49,154.2,141,130,3.342,28.92%,64.8,55.4,143.6,24.6,170,1.4,116,3.8,0,2.8,3.6,4791,0,4.25%,100,1,50,33.8,ND,ND
GX200C-4-26,10.32109,6.0038,4.6894,110.2,290.58,-,,2.61,17.43,4.34,33.76,19.59,-,1.36,-,0.96,160.8,94.63,154.6,142.2,131.1,3.352,30.01%,48.8,95,120.8,25.2,160,未检测,0,未检测,未检测,未检测,未检测,4790,未检测,4.34%,360,未检测,370,31.6,未检测,未检测
SF33-1-25,10.32098,6.0035,4.6898,140.4,290.59,0.9,-,2.62,5.61,4.13,33.66,19.41,14.49,1.37,10.14,0.97,161.4,94.58,155.7,142.8,132.3,3.332,29.06%,120.8,198.5,412.6,102.4,12.8/13,2.4,105.2,5.8,0,1.4/1.4,16.4,7131.4,1.8,4.13%,17.4/20,1,97.2/129.1,29.2,2026/3/2,1123.1
SF33-2-26,10.3208,6.0037,4.6907,115.2,290.65,0.95,,2.62,8.73,4.23,33.6,19.45,13.493,1.4,10.45,0.95,161.1,96.41,157.3,145.8,136.8,3.338,32.15%,114.1,52,109.9,102.7,139.9,0,112.9,2.2,0,2.2,14.2,6126.3,2.2,4.23%,89.9,-,139.9,22,-,981
SF33-G1-25,10.3208,6.0031,4.6887,187,290.49,0.9,,2.64,8.5,4.15,33.36,19.43,6.39,1.34,10.16,1,162.1,96.9,158.9,146.9,137.4,3.341,31.96%,72,98.6,91.4,73.6,14,3.6,103.6,3.8,0,1.8,5.6,6771.4,19.2,4.15%,21,1,190/112,0,2,830/967
SF33-G2-26,10.3219,6.0036,4.6891,116.9,290.57,0.83,,2.63,7.51,4.2,33.43,19.53,13.44,1.37,10.13,0.96,161.8,96.21,157.9,145.5,135.7,3.339,32.3%,93.9,52.6,87.5,80,119.9,0,110.1,3.8,0,3.2,10.8,6566.1,1.8,4.2%,70,-,119.9,19,-,919.6
SF18S-1-25,10.3218,6.0038,4.6893,147.9,290.6,1.09,-,2.65,6.78,4.27,33.45,19.54,12.84,1.33,9.65,0.97,162.3,93.61,155.5,141.3,129.4,3.324,24.96%,53.2,157.3,293.3,88,13,4.6,118.2,5.2,1.2,4.2,12.8,2905.2,3.2,4.27%,22,1,4.6/ND,13.8,5.8,ND
SF18-2-25,10.322,6.004,4.6898,153.5,290.64,0.77,,2.55,6.01,4.18,33.75,19.65,12.49,1.45,8.68,0.94,160.1,94.96,154.8,141.3,131,3.339,24.78%,76,68.4,91.8,19.8,29,9.6,61.8,5,ND,4.8,1.4,3538.6,10.2,4.18%,18,1,ND,5.2,3,ND
SF18D-1-25,10.3211,6.0038,4.6894,169.8,290.58,1.09,,2.56,10.04,4.25,33.69,19.58,13.24,1.4,8.55,0.96,160.1,96.67,157,145.4,136.7,3.352,28.6%,36.2,61.2,50.4,21.6,13,2.4,18,6,ND,3.8,2.2,4050.8,11.8,4.25%,18,1,ND,7.6,11,ND
RT-E99-1-23,10.3195,6.0028,4.6906,153.1,290.56,1.03,2.66,2.58,11,4.39,33.64,19.46,13.98/12.89,1.38,9.27,0.97,160.1,96.65,157.7,145.7,135.9,3.34,28.08%,60.6,65.6,107.1,20.2,113.7,5.6,23.4,2.6,4.6,ND,5.4,2876,2.4,4.39%,未检测,,,,,未检测
RT-E90D-1-25,10.3229,6.0047,4.6898,103.1,290.7,1.04,-,2.63,4.99,4.39,33.98,19.49,13.42,1.29,9.21,0.95,160.8,93.94,154.5,140.5,130,3.342,27.21%,103.6,197.4,473.5,14.4,158.2,3.8,15.2,4.2,0,2,10.2,2728.4,1.4,4.39%,9.8,1,0,11,5.4,未检测
RT-E100-1-25,10.3223,6.0037,4.6896,153.2,290.62,0.9,-,2.66,9.9,4.35,33.65,19.45,12.48,1.44,9.48,0.96,161.5,95,156.4,142.4,131.6,3.337,28.16%,80.2,197.2,273.1,62.8,11.4,3.4,11,4.8,0,1.8,7,2952.4,1.4,4.35%,16,1.2,43.4,49.8,9.6,未检测
A8-6C-1-25,10.3209,6.0039,4.6898,181.9,290.61,1.28,,2.64,12.51,4.21,33.45,19.59,13.25,1.35,9.48,0.94,158.8,94.61,153.1,139.1,127.6,3.332,25.25%,126,89,182.3,14,54.8,5.2,11.6,5,ND,ND,3.2,8250,2.2,4.21%,9.2,1,ND,10.4,,未检测
A8-6C-2-25,,,,,,1.11,,2.62,6.38,4.21,33.41,19.57,11.86,1.36,9.76,0.95,159.7,96.27,155.4,143.9,134.1,3.34,26.15%,215.6,97,,22.2,30,4.4,12.4,,ND,2.6,ND,未检测,1.2,4.21%,11.8,,,10.8,,292.5
A8-4A-1-25,,,,,,0.77,,2.58,5.67,4.17,34.09,19.56,11.38,1.34,9.13,0.96,160.5,94.42,154.8,140.4,130,3.34,23.93%,122.8,66.8,83,14.4,2026/7/16,2.8,10.6,2.2,ND,2.6,ND,1940.4,6.8,4.17%,11.8/20,1,32,16.4,ND,338.9/398.4
A8-4A-2-25,10.3232,6.0043,4.6839,150.8,290.66,0.72,,2.56,5.11,4.3,34.19,19.66,10.03,1.31,9.34,0.97,160.9,95.14,155.7,142.2,130.5,3.348,26.89%,200.1,79.2,166.1,21.4,199.9,1,13.8,1.4,0,1.8,2.2,1959.2,0,4.3%,110,1,159.9,23.8,ND,396
YN-1-22,,,,,,0.81,2.58,2.54,17.3,4.23,33.66,19.52,13.6,1.46,9.02,0.99,160.7,93.8,154,138,126.2,3.333,26.89%,83.4,45.8,392.5,66.6,25.6,7.8,102.6,3.8,ND,ND,7,2410,5.2,4.23%,430,,,,,未检测
Y8-1-23,,,,,,0.95,2.58,2.51,33.2,4.32,33.76,19.58,11.47,1.24,9.13,0.95,160.2,95.59,155.6,142.7,132.7,3.343,30.62%,118,17.2,140.2,23.4,27.9,7,28.6,4.6,35.2,ND,4.6,4250,ND,4.32%,220,,,,,未检测
Y9-1-23,,,,,,1.07,2.68,2.59,12.8,4.34,33.67,19.44,12.16,1.28,9.69,1,159.1,97.52,156.9,147,139.4,3.345,37.3%,37.4,68.2,134.8,28,10.2,4.6,25.4,5,4,ND,6.2,5500,2.2,4.34%,449,,,,,未检测
Y9C-6-25,10.3208,6.0037,4.6905,118,290.63,0.77,,2.6,12.34,4.37,33.28,19.55,11.45,1.37,9.87,1.02,160.1,96.93,156.5,146.2,138.2,3.35,35.71%,105.8,67.6,102.6,41.4,140.1,4.6,24.6,6,0,9.6,7.6,6422.6,4.6,4.37%,290.1,未检测,40,14,未检测,未检测
Y9E-1-24,10.3203,6.0029,4.6887,126,290.47,1.18,2.72,2.62-2.64,10.38,4.27,33.6,19.58,11.22,1.35,9.27,0.98,159.4,92.66,151.1,134.5,122.3,3.33,21.99%,99.2,165,149,34.6,136.8,7,39,7.8,1,0,9.2,2840.4,2.8,4.27%,11.4,1,1,14.2,16.4,未检测
Y9E-6-26,10.3217,6.0038,4.6896,122,290.61,0.94,,2.63,24.32,4.34,33.67,19.42,11,1.3,9.64,1.03,161.1,95.55,155.8,142,134.9,3.35,31.72%,,,,,160.2,,,,,,,5996,,4.34%,230.2,,,,,
Y27-1-25,10.3209,6.0036,4.6892,186.4,290.55,1.16,,2.71,4.89,4.25,33.58,19.54,11.39,1.42,8.88,0.99,162.2,95.13,156,141.9,131.2,3.348,27.03%,182.5,78.8,165.5,40.6,189.9,18,28.8,6,0,4.2,8.2,4688.1,0,4.25%,489.8,4,50,9.6,26,ND
Y9-LA01-1-26,10.32,6.0031,4.6895,106.1,290.53,1.05,,2.65,8.99,4.35,33.53,19.57,9.61,1.31,,1.02,159.5,96.2,154.7,144.4,135,3.351,35.92%,102.2,106.6,90.6,40.8,180,19.4,51,7.4,0,1.8,9.6,6398.7,7.4,4.35%,339.9,0,279.9,13,9.4,1.6
Y9-LA01-2-26,,,,,,1.03,,2.65,8.81,,,,10.5,1.35,9.71,1.02,159.8,96.6,156,145.3,136.2,3.349,36.44%,,,,,,,,,,,,,,,,,,,,
DY12-1-25,10.3206,6.0026,4.689,149.2,290.49,0.9,,2.65/2.66,1.9,4.17,33.99,19.57,10.19,1.11,9.03,0.99,162.2,96.31,157.6,143,132.5,3.342,22.66%,60,115.4,266.4,14.2,9.8,21,36.8,9.6,14.2,23.4,4.6,3370,15,4.17%,ND,,,166.2,,未检测
XX-C10-1-25,10.3212,6.0037,4.6896,208.7,290.59,1.04,,2.65,1.99,4.15,33.84,19.58,12.48,1.16,9.55,0.97,162.1,96.18,157.2,142.2,130.9,3.35,22.4%,62,71.8,106,18.2,290,58.8,31.4,6.8,1.6,20.6,8,4671.9,0,4.15%,180.1,1,90,276.3,6,2
GXS01-TP25023S,10.3169,6.0024,4.6898,111.8,290.15,0.8,,2.63,7.11,4.36,33.41,19.6,10.4,1.32,9.78,0.95,160.5,96.5,156.5,146,136.7,3.351,36.52%,,,,,79.8,,,,,,,5917.8/6457.1,,4.36%,159.7,,,,,
